법인코드,법인명,업종,상장일자,주요품목
A000020,동화약품,제약,19760324,"의약품 제조,판매,수출입"
A000030,우리은행,은행,20141119,"은행법에 의한 은행업무, 자본시장과 금융투자업에 관한 법률에 의한 신탁업무 및 외국환업무"
A000040,KR모터스,자동차,19760525,"이륜차(오토바이) 제조,도매"
A000050,경방,"섬유,의류,신발,호화품",19560303,"섬유류(면사,면혼방사,면직물,면혼방직물,화섬사,화섬직물) 제조,도매,수출입"
A000060,메리츠화재,손해보험,19560702,"손해보험(화재,해상,운송보험)"
A000070,삼양홀딩스,식품,19681227,"지주회사,경영자문컨설팅"
A000080,하이트진로,음료,20091019,소주
A000100,유한양행,제약,19621101,"의약품(삐콤씨,알마겔,세파졸린주사,아코텍스주사,이세파신,신생아호흡곤란치료제 등),생활용품(유한락스,비누,홈키파),식혜 도매"
A000120,CJ대한통운,항공화물운송과물류,19560702,"Contract Logistics, 포워딩, 항만하역, 해운, 택배국제특송, SCM Consulting"
A000140,하이트진로홀딩스,음료,19730919,지주회사
A000150,두산,복합기업,19730629,"청주,소주,인쇄회로기판(인쇄회로용동박적층판),관련전자부품,기계 제조,판매/출판사업,상가임대,외식사업(KFC)"
A000180,성창기업지주,종이와목재,19760602,"베니아합판,특수합판,마루판,바티칼보드,비금속광물(비타일,그라비아) 제조"
A000210,대림산업,건설,19760202,"산업플랜트공사,건축,토목,폴리에틸렌,폴리부텐,각종폴리머 제조,기술용역"
A000220,유유제약,제약,19751118,"의약품 제조,판매"
A000230,일동홀딩스,제약,19750628,"의약품 제조,도매"
A000240,한국타이어월드와이드,자동차부품,19681227,"고무타이어,고무튜브,후랩,알루미늄휠의 제조,판매,임대수익,물품운반용기,포장용기(프라스틱)"
A000250,삼천당제약,제약,20001004,"세프메타졸, 파클캅셀, 네틸마이신"
A000270,기아차,자동차,19730721,"승용차,중대형버스,트럭,민수특수차량,군수차량 제조,판매,정비"
A000300,대유플러스,자동차부품,19750609,"알루미늄휠,스티어링휠 제조,도매"
A000320,노루홀딩스,건축자재,19730810,"시장조사,경영상담"
A000370,한화손해보험,손해보험,19750630,손해보험
A000390,삼화페인트,건축자재,19930910,"유성페인트,수성페인트,PCM도료 제조"
A000400,롯데손해보험,손해보험,19710416,손해보험업
A000430,대원강업,자동차부품,19770622,"차량용스프링,기계부속,시트,타이어체인,합성수지제품,철도용스파이크 제조,도매"
A000440,중앙에너비스,석유와가스,19960701,석유류도소매
A000480,조선내화,비철금속,19780630,"내화연와(정형,부정형,S/N,CCN),단열벽돌,스라이딩노즐,연주용 특수내화물 제조"
